"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2020-01-15T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.54,"bereinigt"
"2020-01-15T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-15T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",973.36,"bereinigt"
"2020-01-15T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",11.97,"bereinigt"
"2020-01-15T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.29,"bereinigt"
"2020-01-15T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-15T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",971.04,"bereinigt"
"2020-01-15T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",12.12,"bereinigt"
"2020-01-16T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.31,"bereinigt"
"2020-01-16T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-16T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",975.85,"bereinigt"
"2020-01-16T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",73.76,"bereinigt"
"2020-01-16T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",10.87,"bereinigt"
"2020-01-16T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.09,"bereinigt"
"2020-01-16T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-16T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",978.59,"bereinigt"
"2020-01-16T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",11,"bereinigt"
"2020-01-16T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.22,"bereinigt"
"2020-01-16T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-16T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",976.26,"bereinigt"
"2020-01-16T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",11.21,"bereinigt"
"2020-01-17T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.73,"bereinigt"
"2020-01-17T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",446.57,"bereinigt"
"2020-01-17T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.49,"bereinigt"
"2020-01-17T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",37.47,"bereinigt"
"2020-01-17T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.05,"bereinigt"
"2020-01-17T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.59,"bereinigt"
"2020-01-17T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",354.62,"bereinigt"
"2020-01-17T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.13,"bereinigt"
"2020-01-17T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",9.4,"bereinigt"
"2020-01-17T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",5.29,"bereinigt"
"2020-01-17T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",436.92,"bereinigt"
"2020-01-17T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",971.83,"bereinigt"
"2020-01-17T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",8.73,"bereinigt"
"2020-01-18T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.19,"bereinigt"
"2020-01-18T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",60.05,"bereinigt"
"2020-01-18T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",975.83,"bereinigt"
"2020-01-18T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",60.08,"bereinigt"
"2020-01-18T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.61,"bereinigt"
"2020-01-18T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.45,"bereinigt"
"2020-01-18T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",61.87,"bereinigt"
"2020-01-18T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",978.56,"bereinigt"
"2020-01-18T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.49,"bereinigt"
"2020-01-18T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",4.95,"bereinigt"
"2020-01-18T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",62.9,"bereinigt"
"2020-01-18T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",976.22,"bereinigt"
"2020-01-18T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",6.72,"bereinigt"
